own_occ,gross_area,total_value,gross_tax,bed_rms,full_bth,hlf_bth,tt_rms,kitchens,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_quality,overall_condition_ranking,heat_type_rank,property_rank,zipcode_rank
0,3353.0,799000.0,9252.42,6.0,3.0,0.0,12.0,3.0,0.0,3.0,3.0,125.0,125.0,0,3,6,4,2
0,3047.0,843000.0,9761.94,3.0,3.0,0.0,9.0,3.0,0.0,0.0,3.0,105.0,25.0,1,3,5,4,2
1,3392.0,815900.0,9448.12,5.0,3.0,0.0,13.0,3.0,0.0,0.0,3.0,120.0,40.0,0,3,2,4,2
0,3108.0,774100.0,8964.08,5.0,3.0,0.0,11.0,3.0,0.0,0.0,3.0,125.0,34.0,0,3,6,4,2
0,3700.0,771700.0,8936.29,6.0,3.0,0.0,13.0,3.0,0.0,0.0,3.0,125.0,47.0,0,3,6,3,2
0,6278.0,1348000.0,15609.84,13.0,6.0,0.0,20.0,3.0,0.0,0.0,3.0,125.0,7.0,0,3,3,4,2
0,6432.0,1307600.0,15142.01,14.0,5.0,0.0,20.0,3.0,0.0,0.0,3.0,125.0,16.0,0,3,6,4,2
1,6048.0,1210500.0,14017.59,11.0,3.0,0.0,16.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,4339.0,938100.0,10863.2,5.0,3.0,0.0,14.0,3.0,0.0,0.0,3.0,125.0,27.0,0,3,6,4,2
1,1082.0,607000.0,7029.06,2.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,125.0,5.0,1,4,5,2,2
0,1159.0,637800.0,7385.72,2.0,2.0,0.0,5.0,1.0,0.0,0.0,2.0,125.0,5.0,1,4,5,2,2
1,766.0,517600.0,5993.8,2.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,125.0,5.0,1,4,5,2,2
1,4734.0,941300.0,10900.25,5.0,3.0,0.0,10.0,2.0,0.0,0.0,3.0,125.0,11.0,1,4,5,3,2
1,4575.0,1014600.0,11749.06,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,4403.0,873300.0,10112.81,5.0,3.0,0.0,13.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,5081.0,1107600.0,12826.01,8.0,3.0,1.0,18.0,3.0,0.0,0.0,3.0,125.0,7.0,0,3,6,4,2
1,3592.0,916700.0,10615.38,6.0,3.0,0.0,14.0,3.0,0.0,0.0,2.0,125.0,125.0,0,3,6,3,2
1,4617.0,823900.0,9540.76,5.0,2.0,0.0,13.0,2.0,0.0,10.0,2.0,126.0,32.0,0,3,6,3,2
0,4146.0,790800.0,9157.46,3.0,3.0,0.0,12.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
1,1525.0,718100.0,8315.59,3.0,2.0,0.0,5.0,1.0,1.0,0.0,1.0,125.0,7.0,1,3,5,2,2
1,1391.0,775400.0,8979.13,3.0,2.0,0.0,5.0,1.0,1.0,0.0,1.0,125.0,125.0,1,3,5,2,2
1,1390.0,786400.0,9106.51,3.0,2.0,0.0,5.0,1.0,1.0,0.0,2.0,125.0,7.0,1,3,5,2,2
1,1374.0,790400.0,9152.83,2.0,2.0,0.0,4.0,1.0,1.0,0.0,3.0,125.0,7.0,1,3,5,2,2
0,2551.0,888300.0,10286.51,3.0,3.0,0.0,7.0,1.0,0.0,0.0,2.0,125.0,7.0,1,4,5,2,2
1,1218.0,659100.0,7632.37,3.0,2.0,0.0,5.0,1.0,0.0,0.0,2.0,125.0,7.0,1,4,5,2,2
1,1237.0,686500.0,7949.67,2.0,2.0,0.0,4.0,1.0,0.0,0.0,3.0,125.0,7.0,1,4,5,2,2
1,5139.0,1083400.0,12545.77,9.0,3.0,0.0,18.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
1,1836.0,413300.0,4786.01,3.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,115.0,60.0,0,3,6,1,2
1,3777.0,856700.0,9920.58,6.0,3.0,0.0,13.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
1,3972.0,903400.0,10461.37,9.0,3.0,0.0,12.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,3,4,2
1,791.0,458800.0,5312.9,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,125.0,7.0,1,3,5,2,2
1,876.0,510000.0,5905.8,2.0,2.0,0.0,5.0,1.0,0.0,0.0,2.0,125.0,7.0,1,3,5,2,2
1,1017.0,590800.0,6841.46,2.0,2.0,0.0,5.0,1.0,0.0,0.0,3.0,125.0,7.0,1,3,5,2,2
0,4623.0,845800.0,9794.36,5.0,3.0,0.0,15.0,3.0,0.0,2.0,3.0,115.0,3.0,0,3,6,4,2
1,2382.0,577400.0,6686.29,4.0,2.0,0.0,8.0,2.0,0.0,0.0,2.0,125.0,21.0,0,3,6,3,2
1,3076.0,614600.0,7117.06,4.0,1.0,1.0,8.0,1.0,0.0,0.0,2.0,125.0,45.0,0,3,6,1,2
1,3618.0,864400.0,10009.75,8.0,3.0,0.0,14.0,2.0,0.0,1.0,2.0,125.0,10.0,0,3,6,3,2
0,4717.0,1106600.0,12814.43,9.0,3.0,0.0,20.0,3.0,0.0,0.0,3.0,115.0,10.0,0,3,3,4,2
0,4637.0,1089400.0,12615.25,9.0,4.0,0.0,18.0,4.0,0.0,0.0,3.0,125.0,34.0,0,3,5,4,2
1,5765.0,1068200.0,12369.75,8.0,3.0,0.0,18.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,3111.0,790600.0,9155.15,4.0,3.0,0.0,10.0,2.0,0.0,0.0,2.0,125.0,47.0,0,3,6,3,2
1,2079.0,566200.0,6556.59,4.0,1.0,1.0,9.0,1.0,0.0,0.0,1.5,105.0,105.0,0,3,6,1,2
0,3346.0,668100.0,7736.6,4.0,2.0,0.0,9.0,2.0,0.0,0.0,2.5,125.0,125.0,0,3,6,3,2
0,3850.0,963600.0,11158.49,5.0,3.0,0.0,11.0,3.0,0.0,0.0,3.0,125.0,7.0,0,3,6,4,2
1,3468.0,874800.0,10130.18,3.0,3.0,0.0,11.0,4.0,0.0,0.0,3.0,125.0,125.0,0,4,6,4,2
0,4614.0,871300.0,10089.65,4.0,3.0,0.0,12.0,3.0,0.0,3.0,3.0,125.0,125.0,0,3,5,4,2
0,3968.0,869400.0,10067.65,3.0,3.0,0.0,12.0,3.0,0.0,2.0,3.0,125.0,5.0,0,3,6,4,2
1,1118.0,627200.0,7262.97,2.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,4.0,4.0,1,4,5,2,2
1,1304.0,693800.0,8034.2,2.0,2.0,0.0,5.0,1.0,0.0,0.0,2.0,4.0,4.0,1,4,5,2,2
1,1304.0,737400.0,8539.09,3.0,2.0,0.0,5.0,1.0,0.0,0.0,3.0,4.0,4.0,1,4,5,2,2
1,1357.0,817300.0,9464.33,3.0,2.0,0.0,5.0,1.0,0.0,0.0,4.0,4.0,4.0,1,4,5,2,2
0,3781.0,744600.0,8622.47,5.0,2.0,0.0,9.0,2.0,0.0,0.0,2.0,125.0,125.0,0,3,6,3,2
0,4304.0,874300.0,10124.39,4.0,3.0,0.0,10.0,3.0,0.0,0.0,3.0,126.0,31.0,0,3,6,4,2
1,3910.0,814800.0,9435.38,5.0,3.0,0.0,12.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
1,4526.0,1077000.0,12471.66,7.0,3.0,1.0,14.0,3.0,0.0,0.0,3.0,125.0,24.0,0,3,6,4,2
0,1502.0,489400.0,5667.25,6.0,2.0,0.0,9.0,1.0,0.0,0.0,2.0,125.0,4.0,0,4,3,2,2
1,1436.0,654800.0,7582.58,3.0,2.0,0.0,8.0,1.0,0.0,0.0,2.0,125.0,4.0,0,4,3,2,2
0,2948.0,767400.0,8886.49,3.0,3.0,0.0,12.0,3.0,0.0,0.0,3.0,125.0,14.0,0,3,6,4,2
0,3056.0,952400.0,11028.79,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,16.0,0,4,5,4,2
1,3214.0,814700.0,9434.22,5.0,3.0,0.0,10.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,3,2
