zip_code,owner_occupied,gross_area,total_value,bed_rms,full_bth,half_bth,kitchens,total_num_rooms,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_type_rank,overall_condition_rank,heat_type_rank,land_use_description_rank,zipcode_4tier_rank,adjusted_tax
02128,0,3353.0,799000.0,6.0,3.0,0.0,3.0,12.0,0.0,3.0,3.0,125.0,125.0,0,3,6,4,3,9252.42
02128,0,3047.0,843000.0,3.0,3.0,0.0,3.0,9.0,0.0,0.0,3.0,105.0,25.0,1,3,5,4,3,9761.94
02128,1,3392.0,815900.0,5.0,3.0,0.0,3.0,13.0,0.0,0.0,3.0,120.0,40.0,0,3,2,4,3,5463.910000000001
02128,0,3108.0,774100.0,5.0,3.0,0.0,3.0,11.0,0.0,0.0,3.0,125.0,34.0,0,3,6,4,3,8964.08
02128,0,3700.0,771700.0,6.0,3.0,0.0,3.0,13.0,0.0,0.0,3.0,125.0,47.0,0,3,6,3,3,8936.29
02128,0,6278.0,1348000.0,13.0,6.0,0.0,3.0,20.0,0.0,0.0,3.0,125.0,7.0,0,3,3,4,3,15609.84
02128,0,6432.0,1307600.0,14.0,5.0,0.0,3.0,20.0,0.0,0.0,3.0,125.0,16.0,0,3,6,4,3,15142.01
02128,1,6048.0,1210500.0,11.0,3.0,0.0,3.0,16.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,10033.380000000001
02128,0,4339.0,938100.0,5.0,3.0,0.0,3.0,14.0,0.0,0.0,3.0,125.0,27.0,0,3,6,4,3,10863.2
02128,1,1082.0,607000.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,125.0,5.0,1,4,5,1,3,3044.8500000000004
02128,0,1159.0,637800.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,125.0,5.0,1,4,5,1,3,7385.72
02128,1,766.0,517600.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,125.0,5.0,1,4,5,1,3,2009.5900000000001
02128,1,4734.0,941300.0,5.0,3.0,0.0,2.0,10.0,0.0,0.0,3.0,125.0,11.0,1,4,5,3,3,6916.04
02128,1,4575.0,1014600.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,7764.849999999999
02128,0,4403.0,873300.0,5.0,3.0,0.0,3.0,13.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,10112.81
02128,0,5081.0,1107600.0,8.0,3.0,1.0,3.0,18.0,0.0,0.0,3.0,125.0,7.0,0,3,6,4,3,12826.01
02128,1,3592.0,916700.0,6.0,3.0,0.0,3.0,14.0,0.0,0.0,2.0,125.0,125.0,0,3,6,3,3,6631.169999999999
02128,1,4617.0,823900.0,5.0,2.0,0.0,2.0,13.0,0.0,10.0,2.0,126.0,32.0,0,3,6,3,3,5556.55
02128,0,4146.0,790800.0,3.0,3.0,0.0,3.0,12.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,9157.46
02128,1,1525.0,718100.0,3.0,2.0,0.0,1.0,5.0,1.0,0.0,1.0,125.0,7.0,1,3,5,1,3,4331.38
02128,1,1391.0,775400.0,3.0,2.0,0.0,1.0,5.0,1.0,0.0,1.0,125.0,125.0,1,3,5,1,3,4994.919999999999
02128,1,1390.0,786400.0,3.0,2.0,0.0,1.0,5.0,1.0,0.0,2.0,125.0,7.0,1,3,5,1,3,5122.3
02128,1,1374.0,790400.0,2.0,2.0,0.0,1.0,4.0,1.0,0.0,3.0,125.0,7.0,1,3,5,1,3,5168.62
02128,0,2551.0,888300.0,3.0,3.0,0.0,1.0,7.0,0.0,0.0,2.0,125.0,7.0,1,4,5,1,3,10286.51
02128,1,1218.0,659100.0,3.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,125.0,7.0,1,4,5,1,3,3648.16
02128,1,1237.0,686500.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,125.0,7.0,1,4,5,1,3,3965.46
02128,1,5139.0,1083400.0,9.0,3.0,0.0,3.0,18.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,8561.560000000001
02128,1,1836.0,413300.0,3.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,115.0,60.0,0,3,6,2,3,801.8000000000002
02128,1,3777.0,856700.0,6.0,3.0,0.0,3.0,13.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,5936.37
02128,1,3972.0,903400.0,9.0,3.0,0.0,3.0,12.0,0.0,0.0,3.0,125.0,125.0,0,3,3,4,3,6477.160000000001
02128,1,791.0,458800.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,125.0,7.0,1,3,5,1,3,1328.6899999999996
02128,1,876.0,510000.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,125.0,7.0,1,3,5,1,3,1921.5900000000001
